date,description,rating_badge,rating_score
2018年08月29日,,無與倫比,10.0
2018年08月23日,整體並沒有覺得特別好，住宿品質跟服務也沒有賓至如歸的感覺。服務品質有待加強（不夠親切）,良好,6.0
2018年08月08日,香格里拉酒店是我这么多年最喜欢的酒店之一！房间大而温馨…,心水之選,8.0
2018年08月04日,outstanding staff service ! although the hotel is a little old and the swimming pool was really small. i will choose again this Hotel because they really care about the hosts.,無與倫比,10.0
2018年06月24日,最差的入住体验了，一共住了3晚，到第二天下午空调就坏了，香港30多度的天，在酒店汗流浃背，然后晚上8点说空调修好了，然而并没有，第三天一直到退房，酒店的空调都是坏的，去前台问，只是让我排在准备checkin的长长队伍后面等待，没有任何赔偿措施。来香港10几次，住过不同的五星级酒店，这次是最差的了，还有这次住的楼层有好多房间在装修，味道非常刺鼻。九龙的香格里拉是目前住过最差的，管理服务都不行，唯一的优点就是房间比较大了。总之是非常差的入住体验。,有待改善,2.0
2018年06月11日,"地點ok, 服務很好。",無與倫比,10.0
2018年05月13日,非常令人滿意的房間！美中不足的只有雨淋式的蓮蓬頭不能用,無與倫比,10.0
2018年05月16日,"房間大,服務好,有國際水準",無與倫比,10.0
2018年05月01日,有夜景，離地鐵站近，搭船叫車都很容易，附近吃東西或者是購物都方便，入住飯店時招待人員也很專業、友善，下次來香港仍會想要到這裡，房間空間寬敞設備也很齊全，是很不錯的體驗。,無與倫比,10.0
2018年04月07日,"人員服務很好，房間也很乾淨
我們是住低樓層海灣房，但是1F戶外 花園區開放到凌晨01:00還是02:00，客人們聊天的聲音在房間都聽得到，沒戴耳塞就不能好好入睡>_<    幾十年的玻璃隔音不行了! ! (其實白天的車子聲音也聽得很清楚)  應該是飯店業者要考慮改善的地方 。
",良好,6.0
2018年02月25日,装修有点旧了，我们理解，距离海港城那一块儿有点远,無與倫比,10.0
2017年12月22日,"Good location, convinent, wonderful service",無與倫比,10.0
2017年12月20日,"Great location, good service.  Check-in line was long and moved really slowly though, I wonder why ?",心水之選,8.0
2017年11月19日,服务很好，地点很棒。酒店大堂工作人员非常热情，打车服务非常到位。下次再来可以考虑再次入住！唯一的缺陷就是楼数不是很高，海景无法包括完整维多利亚景色。,無與倫比,10.0
2017年11月08日,CP 值不錯，房間大小適中，但就離港島遠了點。                                                      ,心水之選,8.0
2017年10月13日,"升級成豪華閣頂層住宿很棒
房間乾淨整潔，每次出去回來都有人進來整理
非常推薦豪華閣的早餐咖啡和景觀，
有來入住一定要上去看看哦
但是飯店提供的自助早餐卻不怎麼樣
下次會想要再住的飯店",無與倫比,10.0
2017年07月08日,"My wife and I both got a flu using our stay. We called the guest service desk, they have us the place to see the doctor. Surprisingly all the staff know we were not feeling well since then. From the room cleaning lady, to the Chinese restaurant manager (they cook a pot of ginger tea for us), to the front desk lady (she granted us a late check out until 5pm), were all so nice and personal. 
As a business person, I traveled many many places and stayed many many hotel, but this one really impressed me!
If we didn't got sick, may be I won't discover the excellent training of this hotel staff! Truly deserved the 5-star rating.",無與倫比,10.0
2017年06月15日,设施有些老旧，但还算不错,心水之選,8.0
2017年04月16日,從機場快線下車之後可以搭K3免費接駁車，最後一站就是九龍香格里拉飯店，直接送到門口非常方便。我們一下免費接駁車就馬上有很美的飯店人員很有禮貌面帶微笑的來迎接我們，感覺心情很美好。她帶我們到櫃台check in 與寄行李。整體上飯店人員都很親切，每位人員都面帶微笑、熱心幫忙，服務超級好。尤其是host很漂亮又super nice! 飯店一走進去感覺很豪華，整個很舒服。飯店的房間蠻大的，能看到很美維多利亞港和對岸壯觀的buildings. 床很舒服，浴室也很大。衣櫥裡面有熨斗，完全不怕襯衫帶到飯店很皺，超級貼心的！飯店地點非常的很好，走出去就是尖東/尖沙咀站，有地鐵到哪裡都很方便！不用走到天荒地老，旁邊就有吃的，對面也有星巴克。超級推薦的飯店！下次來我還會住這裡！,心水之選,8.0
2017年02月08日,服务一级，Wi-Fi太慢,無與倫比,10.0
2019年09月28日,"View from the window, assistance of the staff, comfortable beds.",心水之選,8.0
2019年09月28日,"Rooms are spacious and clean, atmosphere quite cozy 
Everything deserves a FiveStar Rating no doubt!
Only thing if I were to not give it 💯 would be the building itself is kinda outdated comparing to the newly build Rosewood just down the street of cuz with a much higher price tag.. but definitely will stay here again and any Shangri-la hotels in da world
They’re worth the money!",無與倫比,10.0
2019年09月28日,"Everything here was excellent. The staff was wonderful, the location was great, and the facility was impeccable.",無與倫比,10.0
2019年09月24日,"I travel a lot and would have to say that this Hotel ranks up in my top 3 hotels to stay worldwide. excellent service, excellent room and excellent food and refreshments. The location is also very convenient on the kowloon side and it is a short walk to the star Ferry and the Ocean terminal. will definately be staying on my next trip early next year",無與倫比,10.0
2019年09月26日,"Wonderful room. Greatest shower in the history of humankind. Terrific view. Very nicely located for sightseeing and transit opportunities. Very friendly and helpful staff. If, no when I go back to HK I will be staying at the Shangri-la in Kowloon.",無與倫比,10.0
2019年09月17日,"Amazing service and comfortable, clean accommodations.",無與倫比,10.0
2019年09月16日,Location is great. Quiet and nearby the metro station. Pricey for the season and staff is ok but lacks friendliness. Cleaning of room leaving something to be desired. Room carpets are old and difficult to clean. Rooms smell cigarrete smoke from previous customers. Persisted for entire week.,心水之選,8.0
2019年09月14日,"Great location , good Close to Mtr and wonderful customer service.",心水之選,8.0
2019年09月18日,"pay for the bay view on a high floor, good health club",無與倫比,10.0
2019年09月11日,The service staff were pleasing to work with. Always ready to help. ,心水之選,8.0
2019年09月13日,Good place to fxxk,心水之選,8.0
2019年09月07日,Near all restaurants shops all nearby near the Kowloon harbour,心水之選,8.0
2019年09月05日,"Beautiful hotel, excellent location right next to TST East. The room was in immaculate condition and service was efficient and delivered with a smile every time. The bar was not good, however, hence only 4 out of 5. We used the Intercontinental’s lounge bar in the evening a few times instead. Otherwise, absolutely fantastic hotel at a great price. ",心水之選,8.0
2019年09月01日,"Superb in every respect. Huge room, great beds/bedding, highly recommended in all respects.",無與倫比,10.0
2019年09月05日,"10/10
Would not hesistant to stay here again, friendly staff, good location to shops and restuarants.",無與倫比,10.0
2019年09月04日,"The room is very spacious and bright. The location is very convenient,  it is next to Tsim Sha Tsui East MTR station, it is very easy going everywhere. There are many shopping, eating and drinking places around. The hotel provides many quality amenities/toiletries. Our king bed is very comfy.  The seaview room has a very nice harbour view. The doormen, porters and receptionists are very helpful.  We highly recommend this hotel. ",無與倫比,10.0
2019年08月30日,The service overall us good except the service in the Tapas Bar is a bit slow. Waited long time and had to signalled to the waiter/waitress to come taking our order.  ,心水之選,8.0
2019年08月29日,"We upgraded to harbor view room. The room was amazing, big, beautiful, and unforgettable views.  We love the location.",無與倫比,10.0
2019年08月26日,My favorite hotel in HK because of the friendly and accommodating staff and the location due to accessibility to public transportation and the availability of numerous restaurants.,心水之選,8.0
2019年08月27日,We used to live in HK and would prefer the location of Shangrila due to the accessibility to public transportation and the availability of so many restaurants around the area.,心水之選,8.0
2019年08月28日,"Classic Nice hotel, good location, the staff is friendly",心水之選,8.0
2019年08月23日,"Disappointed by the rather outdated decor and room condition of a Shangri-La establishment. Request for late checkout was met with, “we’ll charge you half day rates”. Never happened with Intercontinental or Marriott hotels I’ve put up at. Location is good though as it is accessible to a lot of eateries and convenient to move around.",良好,6.0
2019年08月25日,"Great location, clean, very comfortable bed and great room with good amenities, the Kowloon Shangrii-La is just what the doctor ordered after a long, international flight.  

My room was extremely quiet with shutters and drapes which keep it nice and dark for sleeping in.  

The king sized bed was fantastic, the bathroom had both a bathtub and a great shower with wonderful water pressure and hot water.

The mini bar was nice and well stocked.  I ordered room service and the food was above average.

The hotel is a bit pricey, but sometimes you get what you pay for.  

There could be more premium movie channels (there were none from my experience).",心水之選,8.0
2019年08月19日,An excellent hotel ! We were very happy and will definitely make this our choice for our next visit to Hong Kong.,無與倫比,10.0
2019年08月16日,,無與倫比,10.0
2019年08月08日,"This hotel is very close to the ocean and the night view from its window is splendid. It is a very fancy, nice hotel.",無與倫比,10.0
2019年07月07日,"By far one of the best hotels we’ve ever stayed in. Excellent service from the staff who constantly ensured we had a wonderful stay. The room was amazing with a fantastic view. The little things like free water in the room and a teapot of chinese tea we’re lovely extra touches.
Would highly recommend as well worth the money!",無與倫比,10.0
2019年08月07日,"Have stayed in many different Shangri La Hotels, but this one is most definitely one of the best.  From the moment we arrived Ms Cynthia Law looked after us meticulously until we check out.  All of the staff, facilities, environment and everything else is outstanding.  Highly highly recommend it:-)

Thank you Cynthia for your wonderful service!!!!",無與倫比,10.0
2019年07月29日,Room was very spacious and well appointed. Location good on waterfront. ,心水之選,8.0
2019年07月31日,great location. very nice property.. friendly staff,無與倫比,10.0
2019年10月02日,"Very effective arrangement and nice environment,thanks!",無與倫比,10.0
2019年09月28日,地點方便，房間大而且舒適，餐廳服務人員態度一般，但洒店服務人員態度良好。健身設備充足而且24小時開放，衞生良好。,心水之選,8.0
2019年07月25日,很好，靚景，服務和食物也是一流。特別喜歡21樓的豪華閣樓。晚餐在Angilini食的意大利菜也很好。會再來。,無與倫比,10.0
2019年07月12日,"It’s a staycation with my family, also celebrate my mother birthday.  The staff is nice and breakfast is come with variety choice from west to east. Room is clean and comfort, and they do prepare a small surprise with a birthday cake for mother. Super recommend to stay.",無與倫比,10.0
2019年07月04日,"During my stay, all of the stuff are very helpful and do their best to accommodate our needs. The room is in exceptional condition. Location is the best you ask for.",無與倫比,10.0
2019年06月28日,登記快捷，大堂有足夠的服務員。房間整潔！,無與倫比,10.0
